id_event,id_section,"title",id_film,"description","rooms","url_ticket","date","time",published,soldout,reprogrammed,"reprogramcode",is_private,is_free,id_place,"created_ts","updated_ts",id_film2,id_film3,id_film4,id_film5,id_film6,id_film7,id_film8,id_film9,id_film10,"tags"
1949,104,"Viaje a la luna / Neil Young Journeys",683,"","HOYTS12",NULL,"2012-04-18","11:30:00",1,1,0,"",NULL,NULL,1,"2012-03-23 21:23:37","2012-04-12 21:10:30",676,0,0,0,0,0,0,0,0,NULL
1950,66,"MESA INDUSTRY OFFICE",0,"<b> HERRAMIENTAS 2  / CÓMO PRODUCIR EN LA CIUDAD DE BUENOS AIRES. DIRECCIÓN GENERAL DE INDUSTRIAS CREATIVAS / GCBA</b><br>
<br>
La entrada para esta actividad especial es gratuita. El ingreso está sujeto a la capacidad de cada sala.
<i>Admission to this special activity is free and subject to venue capacity.</i><br>
Para esta actividad en el Auditorio / Punto de Encuentro BAFICI asistir directamente.<br>
<i>For this activity taking place at the Auditorium / BAFICI Meeting Point no ticket is required.</i>","Auditorio",NULL,"2012-04-12","19:00:00",1,0,0,"",NULL,NULL,19,"2012-03-23 21:25:17","2012-03-27 18:03:17",0,0,0,0,0,0,0,0,0,NULL
1951,74,"Hirsch - Programa 2",823,"","HOYTS2",NULL,"2012-04-15","20:15:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:25:53","2012-03-23 21:25:53",824,825,826,827,0,0,0,0,0,NULL
1952,91,"Cortos - Muestra - Programa 4 ",556,"","HOYTS2",NULL,"2012-04-18","12:30:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:26:24","2012-03-23 21:26:24",579,581,583,557,552,0,0,0,0,NULL
1953,5,"Cortos - Competencia - Programa 1",540,"","HOYTS8",NULL,"2012-04-22","15:30:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:26:35","2012-03-27 15:38:14",546,547,544,545,543,0,0,0,0,NULL
1954,72,"Sodankyla Forever: Eternal Time / Sodankyla Forever: Drama of Light",853,"","HOYTS7",NULL,"2012-04-15","20:30:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:28:52","2012-03-23 21:28:52",854,0,0,0,0,0,0,0,0,NULL
1955,0,"Alvorada vermelha / Anna Pavlova lives in Berlin",548,"","HOYTS12",NULL,"2012-04-22","13:45:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:28:59","2012-03-26 15:31:22",654,0,0,0,0,0,0,0,0,NULL
1956,91,"Cortos - Muestra - Programa 3",550,"","HOYTS5",NULL,"2012-04-18","13:00:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:29:45","2012-03-23 21:29:45",576,567,585,559,0,0,0,0,0,NULL
1957,72,"A Day at Karl Marx's Grave / Helsinki, Forever",847,"","Sala Leopoldo Lugones",NULL,"2012-04-22","17:00:00",1,0,0,"",NULL,NULL,3,"2012-03-23 21:31:59","2012-03-23 21:31:59",851,0,0,0,0,0,0,0,0,NULL
1958,91,"Cortos - Muestra - Programa 1",564,"","Sala 1",NULL,"2012-04-22","17:00:00",1,0,0,"",NULL,NULL,21,"2012-03-23 21:33:41","2012-03-24 13:40:11",553,0,0,0,0,0,0,0,0,NULL
